comment,label
Clickbait title,toxic
Keep up the great work,support
Stop making content,toxic
You're amazing!,support
You're so dumb,toxic
You're amazing!,support
Waste of time,toxic
Keep up the great work,support
This is trash,toxic
I learned a lot!,support
You're so dumb,toxic
I learned a lot!,support
Stop making content,toxic
Legend!,support
Waste of time,toxic
So clear and helpful,support
You sound horrible,toxic
I learned a lot!,support
This is trash,toxic
This helped me a lot!,support
Can't believe people like this,toxic
Awesome explanation,support
You're so dumb,toxic
This helped me a lot!,support
Cringe content,toxic
So clear and helpful,support
Cringe content,toxic
Awesome explanation,support
Clickbait title,toxic
Much appreciated!,support
Waste of time,toxic
This helped me a lot!,support
Cringe content,toxic
Keep up the great work,support
Cringe content,toxic
Awesome explanation,support
Cringe content,toxic
Keep up the great work,support
Can't believe people like this,toxic
Much appreciated!,support
Stop making content,toxic
You're amazing!,support
Clickbait title,toxic
Legend!,support
Worst video ever,toxic
I learned a lot!,support
Stop making content,toxic
This helped me a lot!,support
Waste of time,toxic
I learned a lot!,support
Stop making content,toxic
So clear and helpful,support
Cringe content,toxic
Thanks for the content!,support
Can't believe people like this,toxic
So clear and helpful,support
Cringe content,toxic
I learned a lot!,support
You're so dumb,toxic
So clear and helpful,support
Clickbait title,toxic
Awesome explanation,support
Waste of time,toxic
Much appreciated!,support
Waste of time,toxic
Awesome explanation,support
This is trash,toxic
Awesome explanation,support
Worst video ever,toxic
Keep up the great work,support
You're such a loser,toxic
You're amazing!,support
This is trash,toxic
I learned a lot!,support
You're such a loser,toxic
Awesome explanation,support
Stop making content,toxic
So clear and helpful,support
Worst video ever,toxic
So clear and helpful,support
Can't believe people like this,toxic
Much appreciated!,support
You're such a loser,toxic
This helped me a lot!,support
Can't believe people like this,toxic
Keep up the great work,support
Waste of time,toxic
So clear and helpful,support
You sound horrible,toxic
You're amazing!,support
You're such a loser,toxic
You're amazing!,support
Clickbait title,toxic
Awesome explanation,support
You're so dumb,toxic
Much appreciated!,support
Clickbait title,toxic
Thanks for the content!,support
This is trash,toxic
Much appreciated!,support
